Behavior,Trigger Rule,Collection Name,Handle,Layer,Where It Appears,Parents / Depends On,Full Auto Tags - ADD,Remove Tags,Auto Vendor,Auto Type,Auto CMS Collection,Auto Product Category,Auto Google Product Category,Auto Design (apply when trigger fires),Auto Colour Style (apply when trigger fires),Auto Jewelry Type,Auto Target Gender,Auto Age Group,Auto Status,Flag,Notes,Source Refs
AUTO_ON_COLLECTION_SELECTION,AUTO: apply when this collection is selected.,Bracelets,bracelets,Main type,Main nav,— (this is a parent),"all-products, all-products-collection, all-products-collections, bracelets, bracelet, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,Parent of Shop Your Vibe + Shop By Collection for bracelets. Live products use both bracelets and bracelet — keep both until Mack confirms automated collections only need one.,Bracelets!6
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,BOLD BRACELETS,bracelets-bold-colours,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, bold-colours-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!8
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Bracelets Gold,bracelets-gold,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, gold-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!9
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,Bracelets Silver,bracelets-silver,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, silver-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!10
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,BRIGHT BRACELETS,bracelets-brights,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, brights-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!11
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,EARTHY & NATURAL BRACELETS,bracelets-earthy-natural,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, earthy-and-natural-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!12
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,GOLD & BLACK BRACELETS,bracelets-gold-black,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, gold-and-black-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!13
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,GOLD & WHITE BRACELETS,bracelets-gold-white,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, gold-and-white-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!14
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,SOFT PASTEL BRACELETS,bracelets-pastels,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, pastels-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,solid,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!15
SHOP_YOUR_VIBE_DROPDOWN,USER TRIGGER ONLY: never preselect Shop Your Vibe. Apply this entire row only after the user explicitly selects this Shop Your Vibe option.,STRING STYLE BRACELETS,bracelets-string-styles,Shop by style / Shop Your Vibe,Shop Your Vibe + Shop By Style in type mega-menu,Bracelets,"all-products, all-products-collection, all-products-collections, bracelets, bracelet, string-styles-bracelets, exclude-from-the-sale",,,Bracelets,,Apparel & Accessories > Jewelry > Bracelets,191,beaded,multicolour,handcrafted-jewellery,unisex,universal,draft,OK,,Bracelets!16
