Collection,Tags,Color (product.metafields.shopify.color-pattern),"Jewelry material (product.metafields.shopify.jewelry-material)
",Age group (product.metafields.shopify.age-group),"Jewelry type (product.metafields.shopify.jewelry-type)
",Target gender (product.metafields.shopify.target-gender),Bracelet design (product.metafields.shopify.bracelet-design),Necklace design (product.metafields.shopify.necklace-design),Earring design (product.metafields.shopify.earring-design),Pattern Category (product.metafields.custom.pattern_category),Materials and Dimensions (product.metafields.custom.materials_and_dimensions),Product Metals (product.metafields.custom.product_metals)
Livi Road Bracelets,"livi-road,bracelets",black; black-and-gold; black-and-grey; black-white-and-gold; blue; burnt-orange; cream; emerald; emerald-green; geometric; gold; green; grey; orange; pink; purple; silver; tan; turquoise; white; white-and-gold; pastels; striped,uv-plated-enamel-elasticated-beads ,universal,handcrafted-jewellery,unisex,pastels; burnt-and-brave; brights; black-and-bold; golds,,,"multicolour, solid",uv-plated-enamel,
Livi Road Necklaces ,"livi-road,necklaces",black; black-and-gold; black-and-white; gold; white-and-gold,uv-plated-enamel-beads-on-cord ,universal,handcrafted-jewellery,unisex,,,,"multicolour, solid",uv-plated-enamel,
Livi Road Earrings ,"livi-road,earrings","black; black-and-gold; gold; white-and-gold, silver",uv-plated-enamel-beads ,universal,handcrafted-jewellery,unisex,,,hoops,"multicolour, solid",uv-plated-enamel; uv-plated-enamel-and-freshwater-pearls,
Pata Pata bracelets,"pata-pata, bracelets",black; blue; brown; burnt-orange; cream; emerald-green; gold; green; orange; pink; purple; red; solid; tan; turquoise; yellow,resin-acrylic-elasticated-beads; 18k-gold-plated-bead,universal,handcrafted-jewellery,unisex,earthy; brights; darks; pastels; ocean blues,,,"multicolour, solid",acrylic-and-18k-plated-bead ,
Elevated Basics Bracelets,"elevated-basics,bracelets",black; black-and-gold; blue; gold; green; orange; pink; red; silver; turquoise; white; white-and-gold,japanese-miyuki-beads; wax-cord; freshwater-pearls; natural-stones,universal,handcrafted-jewellery,unisex,burnt-and-brave; golden-halos; wraps; tila; brights,,,"multicolour, solid",japanese-miyuki-beads-and-wax-coated-cord; japanese-miyuki-beads; freshwater-pearl-and-wax-coated-cord; japanese-miyuki-beads; freshwater-pearl; natural-stones-and-wax-coated-cord ,
Elevated Basics Necklaces ,"elevated-basics,necklaces",black; black-and-gold; red; silver; turquoise; white-and-gold,japanese-miyuki-beads; wax-cord; freshwater-pearls; natural-stones,universal,handcrafted-jewellery,unisex,,adjustable,,"multicolour, solid","japanese-miyuki-beads-and-wax-coated-cord; japanese-miyuki-beads; freshwater-pearl-and-wax-coated-cord; apanese-miyuki-beads, freshwater-pearl, natural-stones-and-wax-coated-cord ",
Elements of Desire Bracelets,"elements-of-desire,bracelets",black; black-and-gold; black-and-white; blue; gold; green; grey ;orange; purple; red; yellow,glass beads; freshwater-pearls; wax-cord; enamel-beads; 18k-gold-plated-chains; glass-beads-and-freshwater-pearls;18k-chain-and-enamel-bead; agate-beads-and-wax-coated-cord,universal,handcrafted-jewellery,unisex,"bound-by-luck; eyes-of-fortune, dual-strings; purely-pearly",,,solid,"glass-beads, freshwater-pearls-and-wax-coated-cord; 18k-gold-plated-chain-and-enamel-bead; glass-beads; freshwater-pearl-and-18k-plated-trinket; agate-beads; 18k-plated-trinket-and-wax-cord ",
Untamed Charms,"untamed,charms",gold; grey; silver; white,"freshwater-pearls-and-18k-ring; natural-stones-and-18k-ring;
pearl-stones-and-18k-ring",universal,handcrafted-jewellery,unisex,,,,,freshwater-pearls-and-8k-plated-jumpring; freshater-pearl; natural-stones-and-18k-plated-jumpring; natural-stones-and-18k-plated-jumpring,gold; silver 
Untamed Earrings ,"untamed,earrings",black; black-and-gold; black-and-grey; blue; cream; gold; grey; multi; orange; pink; silver; white; white-and-gold,18k-gold-plated,universal,handcrafted-jewellery,unisex,,,golden-power; silver-tones; floral-earrings; bold-earrings,"multicolour, solid",18k-plated; 18k-plated-enamel; ,gold 
Untamed Necklaces ,"untamed,necklaces",gold; silver,japanese-miyuki-beads; 18k-gold-plated-clasps,universal,handcrafted-jewellery,unisex,,,,solid,japanese-miyuki-beads-and-18k-plated-clasp,gold; silver 
Livi Road Bundles,"livi-road,livi-road-bundles",black; black-and-gold; black-and-grey; black-white-and-gold; blue; burnt-orange; cream; emerald; emerald-green; geometric; gold; green; grey; orange; pink; purple; silver; tan; turquoise; white; white-and-gold; pastels; striped,uv-plated-enamel-beads ,universal,handcrafted-jewellery,unisex,pastels; burnt-and-brave; brights; black-and-bold; golds,,,"multicolour, solid",uv-plated-enamel,
Elevated Basics Bundles,"elevated-basics,elevated-basics-bundles",black; black-and-gold; blue; gold; green; orange; pink; red; silver; turquoise; white; white-and-gold,japanese-miyuki-beads; wax-cord; freshwater-pearls; natural-stones,universal,handcrafted-jewellery,unisex,burnt-and-brave; golden-halos; wraps; tila; brights,,,"multicolour, solid","japanese-miyuki-beads-and-wax-coated-cord; japanese-miyuki-beads; freshwater-pearl-and-wax-coated-cord; apanese-miyuki-eads; freshwater-pearl, natural-stones-and-wax-coated-cord ",
Pata Pata Bundles,"pata-pata, pata-pata-bundles",black; blue; brown; burnt-orange; cream; emerald-green; gold; green; orange; pink; purple; red; solid; tan; turquoise; yellow,resin-acrylic-elasticated-beads; 18k-gold-plated-bead,universal,handcrafted-jewellery,unisex,earthy; brights; darks; pastels; ocean-blues,,,"multicolour, solid",acrylic-and-18k-plated-bead ,
